SL.   Gradients Vector from CNN--------------Gradients Vector from FiniteDifferencing
---   --------------------------                             ----------------------------------------

1.     -3.598635199492439E-4                          -3.798272807387093E-4,  
2.     5.535604482254309E-4                          5.552025506005975E-4,  
3.     3.151526271679702E-4                          2.952416089385679E-4,  
4.     5.926967926572905E-4                          5.890643528516648E-4,  
5.     5.782292351781869E-4                          5.8161475635643E-4,  
6.     9.438673608833961E-4                          9.321210470147889E-4,  
7.     -5.038517123585947E-4                          -5.08999509207797E-4,  
8.     8.61180284282018E-4                          8.590794742246999E-4,  
9.     0.00122276305543368                          0.0012099277135746433,  
10.     2.896629038611788E-6                          9.034994974399524E-6,  
11.     2.634353969371968E-4                          2.6130653196787534E-4,  
12.     2.8919115043120737E-4                          2.8267610474586036E-4,  
13.     -3.1228386973090243E-4                          -3.051403574261258E-4,  
14.     -8.583703774606815E-4                          -8.630829384514982E-4,  
15.     -6.594219557797174E-4                          -6.692579823663891E-4,  
16.     -7.758475829994708E-4                          -7.640066357339492E-4,  
17.     -7.615060045207151E-5                          -7.94786458868657E-5,  
18.     -7.06618584126367E-4                          -7.262412893282999E-4,  
19.     9.231835682493573E-5                          1.0172085396220609E-4,  
20.     7.975642217519836E-5                          7.795764034312924E-5,  
21.     1.0718517868506526E-4                          1.0788037130282646E-4,  
22.     -1.6801795727028053E-4                          -1.6309398276348475E-4,  
23.     7.431563960683983E-5                          7.596367979090246E-5,  
24.     -1.6215308546191741E-4                          -1.6725287821373058E-4,  
25.     1.240783789379265E-5                          1.311839525897085E-5,  
26.     0.0                          0.0,  
27.     -3.816836610187008E-4                          -9.142975265774567E-4,  
28.     2.1177724917114865E-4                          2.258748743599881E-4,  
29.     -5.658380108605941E-4                          -5.684586135146219E-4,  
30.     2.6980907193600764E-4                          2.808775434459676E-4,  
31.     0.0010710566732339024                          0.0010669420902331694,  
32.     -2.6600740996339257E-4                          -2.685873745633671E-4,  
33.     0.002112611887147717                          0.002134508125806178,  
34.     -7.844015204906905E-4                          -7.793676815026629E-4,  
35.     -8.526708894209813E-4                          -8.541145568585762E-4,  
36.     7.030033319512869E-4                          7.053202466522634E-4,  
37.     -9.975147871414515E-4                          -9.983458504336795E-4,  
38.     -9.556111251054219E-4                          -9.641132336923874E-4,  
39.     2.6702134369477413E-4                          2.7488678000509026E-4,  
40.     8.724405087966328E-4                          8.820988384172779E-4,  
41.     3.304596139112762E-5                          1.920907877206446E-5,  
42.     1.8213904443281474E-4                          1.801625515440719E-4,  
43.     -5.557601509487342E-4                          -5.623679300015283E-4,  
44.     3.241277270355805E-4                          3.207678567207495E-4,  
45.     1.5553137541274016E-4                          1.7211565506158877E-4,  
46.     5.003463627387684E-5                          5.164091376741453E-5,  
47.     7.364252800914193E-4                          7.334333140818217E-4,  
48.     1.095883582201918E-4                          1.1021183965453929E-4,  
49.     -0.0014027806196249544                          -0.001403712701630866,  
50.     6.796609197540055E-4                          6.672573604760146E-4,  
51.     -2.627554512256643E-4                          -2.654143571589884E-4,  
52.     0.0                          0.0,  
53.     -6.332889030738757E-4                          -7.719935801731026E-4,  
54.     2.7992973716064627E-4                          2.939537502300027E-4,  
